Unit			Code


AIR CON			AC
AUDIO AMPLIFIER		AA
BED			BD
BOTTLE COOLER		BC
CENTER TABLE		CT
CHEST TYPE FREEZER	CTF
CORNET SET		CS
DINING SET		DS
DINING TABLE		DIT
DRESSER TABLE		DRT
DVD PLAYER		DP
ELECTRIC FAN		EF
ENTERTAINMENT		ENT
FLEX FOAM		FF
FOAM			FOAM
GALA BED ESSENTIALS	GBE
GAS RANGE		GR
KARAOKE			KR
MIDI PLAYER		MP
PROJECTION TV		PTV
REFRIGERATOR		REF
RICE COOKER		RC
SALA SET		SS
SEWING MACHINE		SM
SOFA BED		SB
SPRING BED		SPB
STEEL BED		STB
STEEL DIVIDER		SD
STEREO			SR
STOVE			ST
TELEVISION		TV
TV RACK			TVR
UPRIGHT FREEZER		UREF
VIDEO PLAYER		VP
WARDOBE			WARD
WASHING MACHINE		WM
WATER DISPENSER		WD
